id,lead_in,illustration,explanation,learning_objectives,controlled_practice,extended_practice
1,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Theoretical approach,Analyze and evaluate information,example6,field trip report
2,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Experimental method,Communicate effectively,example4,simulation exercise
3,The course provides a comprehensive overview of the subject matter and challenges students to think critically and apply their knowledge.,[],Statistical analysis,Apply knowledge in practical scenarios,example10,individual research project
4,Collaboration and teamwork are essential in this course,"[{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Communicate effectively,example10,individual research project
5,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,[],Data visualization technique,Communicate effectively,example1,simulation exercise
6,and students will be challenged to work together to solve complex problems.,"[{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Theoretical approach,Understand key concepts,example11,group presentation
7,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Data visualization technique,Analyze and evaluate information,example10,field trip report
8,Collaboration and teamwork are essential in this course,[],Theoretical approach,Communicate effectively,example12,simulation exercise
9,and students will be challenged to work together to solve complex problems.,"[{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Communicate effectively,example1,case study analysis
10,Collaboration and teamwork are essential in this course,"[{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,Communicate effectively,example10,individual research project
11,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Apply knowledge in practical scenarios,example7,case study analysis
12,and students will be challenged to work together to solve complex problems.,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Apply knowledge in practical scenarios,example10,simulation exercise
13,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Apply knowledge in practical scenarios,example8,case study analysis
14,The course provides a comprehensive overview of the subject matter and challenges students to think critically and apply their knowledge.,"[{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Communicate effectively,example9,individual research project
15,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,"[{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,Apply knowledge in practical scenarios,example7,simulation exercise
16,and students will be challenged to work together to solve complex problems.,"[{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Statistical analysis,Communicate effectively,example9,case study analysis
17,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,"[{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,Demonstrate critical thinking skills,example8,individual research project
