id,Project structure (showcase),Title,documents,SCMP letter,Legco report,Social media posts (links),Image files (poster),Team membership
1,Tech Solutions,Exploring the Effects of Climate Change,"[{""public"":""document4"",""government_reply"":""doc004"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/tweet?lang=en,Dui.jpeg,Member 3
2,Innovation Lab,Exploring the Effects of Climate Change,[],https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,IpsumAcTellus.mp3,Member 3
3,Tech Solutions,The Future of Artificial Intelligence,"[{""public"":""document3"",""government_reply"":""doc002"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,Ipsum.mp3,Member 3
4,Tech Solutions,Analyzing the Role of Social Media in Society,"[{""public"":""document5"",""government_reply"":""doc001"",""internal_notes"":""Note 1""},{""public"":""document5"",""government_reply"":""doc004"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Act 456,https://twitter.com/elonmusk,OdioElementumEu.tiff,Member 3
5,Creative Ventures,The Impact of Technology on Education,"[{""public"":""document3"",""government_reply"":""doc005"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters,Bill 123,https://twitter.com/elonmusk,Mi.txt,Member 1
6,Future Initiatives,The Impact of Technology on Education,"[{""public"":""document5"",""government_reply"":""doc002"",""internal_notes"":""Note 5""},{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 3""},{""public"":""document2"",""government_reply"":""doc004"",""internal_notes"":""Note 3""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Bill 123,https://twitter.com/elonmusk,VitaeMattis.jpeg,Member 3
7,Project X,Exploring the Effects of Climate Change,"[{""public"":""document3"",""government_reply"":""doc001"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Resolution 789,https://twitter.com/elonmusk,SemperEstQuam.txt,Member 1
8,Project X,The Impact of Technology on Education,"[{""public"":""document2"",""government_reply"":""doc001"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/elonmusk,FacilisiCrasNon.mov,Member 1
9,Project X,Exploring the Effects of Climate Change,"[{""public"":""document4"",""government_reply"":""doc005"",""internal_notes"":""Note 1""}]",https://www.scmp.com/comment/letters/article/3250959/how-hong-kong-can-move-messi-head-held-high,Resolution 789,https://twitter.com/elonmusk,LectusIn.jpeg,Member 1
10,Creative Ventures,Examining the Benefits of Renewable Energy Sources,"[{""public"":""document4"",""government_reply"":""doc003"",""internal_notes"":""Note 4""},{""public"":""document5"",""government_reply"":""doc005"",""internal_notes"":""Note 2""}]",https://www.scmp.com/comment/letters,Act 456,https://twitter.com/elonmusk,Suspendisse.avi,Member 1
